iq,cgpa,placement
107,7.43,0
98,7.67,0
110,8.3,1
123,8.26,1
96,5.35,0
96,5.87,0
124,7.62,1
112,7.62,1
93,7.62,1
108,10.0,1
93,7.69,1
93,8.36,0
104,8.14,0
71,7.78,1
74,6.62,0
92,7.91,0
85,6.07,1
105,6.72,1
86,6.42,1
79,7.1,0
122,9.78,1
97,4.76,0
101,7.82,1
79,5.06,0
92,6.43,0
102,8.31,1
83,7.08,0
106,5.71,1
91,6.14,0
96,7.82,0
91,6.12,0
128,7.26,0
100,7.05,0
84,6.22,0
112,9.57,1
82,7.76,0
103,4.57,0
71,7.22,0
80,6.21,0
103,8.02,1
111,6.05,1
103,6.86,1
98,7.61,0
95,8.04,1
78,5.56,0
89,6.6,0
93,6.43,0
116,6.22,0
105,9.12,1
74,7.49,0
105,5.49,0
94,8.1,1
90,9.55,1
109,8.24,1
115,5.18,0
114,6.42,0
87,8.52,1
95,6.15,0
105,7.53,1
115,7.93,1
93,5.89,1
97,6.93,0
83,4.0,0
82,5.77,0
112,6.7,1
120,5.5,0
99,8.96,1
115,5.28,1
105,6.47,0
90,7.16,0
105,8.73,1
123,5.28,0
99,8.4,0
123,7.01,1
70,5.82,0
112,7.55,1
101,7.24,1
96,6.28,0
101,7.08,1
70,6.54,0
97,7.14,0
105,7.79,0
122,8.9,1
92,5.51,0
88,9.56,1
92,4.66,0
114,6.82,0
105,7.71,0
92,7.34,1
108,6.25,1
101,6.75,0
115,6.41,1
89,6.29,0
95,8.02,0
94,7.43,1
78,6.17,0
104,8.08,0
104,7.37,1
100,7.98,0
96,7.76,0
79,6.01,0
94,6.33,1
95,7.9,0
88,7.73,1
98,6.97,0
106,7.14,0
128,8.53,1
103,6.29,0
104,7.66,1
99,6.76,0
71,6.74,0
100,8.32,1
101,7.99,1
137,7.98,1
97,8.57,1
105,7.03,1
99,7.82,1
82,6.63,0
117,7.39,1
111,6.84,1
112,7.12,0
86,7.71,1
121,6.02,0
79,9.51,1
109,5.79,0
133,5.54,0
85,8.39,0
92,7.95,1
101,7.75,1
92,7.75,0
77,6.99,0
101,5.92,0
84,7.09,0
107,6.19,0
86,8.17,0
123,6.82,1
88,6.01,0
95,6.61,0
112,7.5,1
82,6.32,0
103,6.01,1
120,7.29,1
76,7.29,0
103,6.39,1
104,6.43,0
112,7.28,1
81,5.26,0
80,5.31,0
108,6.14,1
104,6.74,0
104,7.37,1
105,8.77,1
90,8.03,1
103,6.81,1
104,6.98,1
89,5.8,0
128,6.98,1
107,6.65,0
82,7.39,0
110,6.01,0
85,7.62,1
112,8.84,1
117,6.87,1
88,7.48,0
114,7.83,1
106,6.52,0
112,7.27,0
128,7.02,1
96,7.12,0
89,6.07,0
87,7.03,0
88,7.6,1
99,8.74,1
105,8.15,1
104,9.58,1
112,6.08,0
100,8.05,1
122,7.22,1
96,9.63,1
141,6.03,1
109,5.99,1
87,6.28,0
84,4.45,0
107,6.37,1
97,6.09,0
111,7.18,1
107,7.41,1
99,9.25,1
87,8.14,1
77,6.31,0
93,5.92,0
113,7.59,1
103,5.42,0
81,9.2,1
103,8.42,1
106,6.44,0
87,4.94,0
102,8.62,1
101,6.86,0
83,8.49,1
